Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
43,Training,1714.77,4.07,2416.01,72.33,84.28,8537.93,24.59,159,0,0,0.2507631778717041,4,0
44,Training,1723.18,4.08,2423.33,72.33,84.28,8538.29,24.34,159,0,0,0.2427067756652832,4,0
45,Training,1738.59,4.11,2428.24,72.33,84.28,8538.33,41.45,159,0,0,0.22155499458312988,4,0
46,Training,1777.59,4.17,2475.2,71.07,83.65,8538.98,0.9,159,0,0,0.424562931060791,4,0
47,Training,1803.57,4.22,2476.36,68.55,83.65,8540.29,39.54,159,0,0,0.8375635147094727,4,0
48,Training,1816.1,4.24,2472.94,66.67,84.91,8540.98,44.83,159,0,0,0.5899686813354492,4,0
49,Training,1787.9,4.16,2450.69,67.92,85.53,8541.58,5.21,159,0,0,0.5565850734710693,4,0
50,Training,1768.99,4.11,2444.71,69.81,85.53,8542.57,3.35,159,0,0,0.6538445949554443,4,0
51,Training,1763.88,4.09,2440.06,68.55,85.53,8543.01,0.27,159,0,0,0.3648674488067627,4,0
52,Training,1770.34,4.10,2445.69,69.18,85.53,8543.12,34.75,159,0,0,0.27570295333862305,4,0
53,Training,1718.07,3.91,2394.71,69.81,88.05,8543.13,15.32,159,0,0,0.23787617683410645,4,0
54,Training,1709.6,3.86,2411.33,71.07,85.53,8543.51,6.99,159,0,0,0.32289838790893555,4,0
55,Training,1649.6,3.67,2357.03,72.33,89.31,8543.49,6.57,159,0,0,0.1991596221923828,4,0
56,Training,1623.77,3.56,2327.81,74.21,89.94,8543.37,14.43,159,0,0,0.251967191696167,4,0
57,Training,1623.71,3.54,2322.26,75.47,89.31,8543.28,24.36,159,0,0,0.2258930206298828,4,0
58,Training,1596.03,3.46,2310.82,76.1,89.94,8543.27,0.25,159,0,0,0.2037804126739502,4,0
59,Training,1578.86,3.38,2299.01,75.47,91.19,8543.15,3.12,159,0,0,0.21493959426879883,4,0
60,Training,1544.64,3.26,2265.83,76.1,91.19,8542.75,14.08,159,0,0,0.34777092933654785,4,0
61,Training,1537.05,3.23,2260.59,77.99,91.19,8542.58,10.68,159,0,0,0.2528696060180664,4,0
62,Training,1541.01,3.23,2260.19,77.99,91.19,8542.5,30.92,159,0,0,0.2290482521057129,4,0
63,Training,1556.46,3.23,2284.49,76.1,90.57,8541.71,8.29,159,0,0,0.479001522064209,4,0
64,Training,1544.93,3.20,2263.46,77.99,90.57,8539.44,7.86,159,0,0,1.106597661972046,4,0
65,Training,1506.65,3.11,2227.11,78.62,93.08,8538.44,13.0,159,0,0,0.7678031921386719,4,0
66,Training,1331.6,2.73,1861.15,80.5,95.6,8255.83,20.59,159,0,0,0.5698785781860352,4,0
67,Training,1251.99,2.55,1685.73,81.76,96.23,8255.61,27.48,159,0,0,0.30622100830078125,4,0
68,Training,1268.71,2.58,1709.07,81.76,95.6,8255.49,12.52,159,0,0,0.27576613426208496,4,0
69,Training,1274.68,2.62,1668.36,78.62,95.6,8087.17,9.52,159,0,0,0.4618265628814697,4,0
70,Training,1263.43,2.61,1698.97,80.5,93.08,8086.55,7.89,159,0,0,0.7288591861724854,4,0
71,Training,1328.05,2.76,1795.29,79.25,91.19,8086.45,25.2,159,0,0,0.2832322120666504,4,0
72,Training,1424.26,2.98,2020.86,79.25,88.68,8086.11,15.61,159,0,0,0.31612706184387207,4,0
73,Training,1505.89,3.15,2231.04,79.87,88.68,9603.7,11.14,158,0,1,14.443467140197754,6,1
74,Training,1470.48,3.07,2141.79,79.25,89.94,9603.26,2.95,159,0,0,28.40023446083069,6,0
75,Training,1454.09,3.04,2135.92,79.87,89.31,9603.21,2.68,159,0,0,28.4182231426239,6,0
76,Training,1805.9,3.78,2432.96,67.92,85.53,9907.53,36.85,159,0,0,23.211495637893677,4,2
77,Training,1543.36,3.23,2205.49,78.62,88.05,9827.44,12.54,159,0,0,1.2773661613464355,4,0
78,Training,1387.48,2.92,2092.83,81.13,89.94,9782.46,14.95,159,0,0,1.2194793224334717,4,0
79,Training,1394.14,2.91,2088.43,81.13,89.94,9748.07,10.03,159,0,0,1.0700809955596924,4,0
