Actual,Predict,Absolute Error
49344.0,55142.625,5798.625
48678.0,55142.625,6464.625
48254.0,55142.625,6888.625
47740.0,55142.625,7402.625
47486.0,55142.625,7656.625
47398.0,55142.625,7744.625
47456.0,55142.625,7686.625
47682.0,55142.625,7460.625
47970.0,55142.625,7172.625
48098.0,55142.625,7044.625
49184.0,55142.625,5958.625
49950.0,55142.625,5192.625
50018.0,55142.625,5124.625
49788.0,55142.625,5354.625
50146.0,55142.625,4996.625
49444.0,55142.625,5698.625
49367.0,55142.625,5775.625
49346.0,55142.625,5796.625
49540.0,55142.625,5602.625
49214.0,55142.625,5928.625
48688.0,55142.625,6454.625
48046.0,55142.625,7096.625
47754.0,55142.625,7388.625
47414.0,55142.625,7728.625
46968.0,55142.625,8174.625
46328.0,55142.625,8814.625
46570.0,55142.625,8572.625
46680.0,55142.625,8462.625
47100.0,55142.625,8042.625
46722.0,55142.625,8420.625
46261.0,55142.625,8881.625
47072.0,55142.625,8070.625
47250.0,55142.625,7892.625
46900.0,55142.625,8242.625
46334.0,55142.625,8808.625
46566.0,55142.625,8576.625
46506.0,55537.07,9031.07
46528.0,55880.176,9352.176
46868.0,56208.25,9340.25
47486.0,56310.746,8824.746
47586.0,56325.297,8739.297
47238.0,56491.242,9253.242
47246.67,57016.76,9770.09
47013.33,57367.19,10353.863
46950.0,57651.355,10701.355
47260.0,58010.66,10750.66
47326.0,57829.383,10503.383
47272.0,57530.15,10258.148
47121.0,57572.535,10451.535
47094.0,57618.977,10524.977
47324.0,57707.99,10383.988
47318.0,57129.793,9811.793
48676.0,56877.816,8201.816
48988.0,56716.59,7728.59
49188.0,56454.85,7266.8516
49133.0,56067.746,6934.746
48790.0,55908.04,7118.039
48966.0,55776.395,6810.3945
48292.0,55751.766,7459.7656
46380.0,55747.195,9367.195
45406.0,55748.58,10342.578
45492.0,55748.598,10256.598
46002.0,55471.676,9469.676
45338.0,55142.625,9804.625
45010.0,55142.625,10132.625
43594.0,55142.625,11548.625
40596.0,55327.4,14731.398
38284.0,55324.71,17040.71
39392.0,55257.914,15865.914
40843.0,55142.625,14299.625
42036.0,55142.625,13106.625
42024.0,55142.625,13118.625
42911.0,55142.625,12231.625
43131.0,55142.625,12011.625
43538.0,55142.625,11604.625
43992.0,55142.625,11150.625
44104.0,55142.625,11038.625
44970.0,55142.625,10172.625
46702.0,55142.625,8440.625
47128.0,55142.625,8014.625
48230.0,55142.625,6912.625
49264.0,55142.625,5878.625
50040.0,55142.625,5102.625
52242.0,55142.625,2900.625
51994.0,55174.652,3180.6523
51914.0,55142.625,3228.625
51450.0,55142.625,3692.625
50384.0,55142.625,4758.625
51682.00000000001,55142.625,3460.625
51526.00000000001,55142.625,3616.625
52026.00000000001,55142.625,3116.625
52258.0,55142.625,2884.625
52139.99999999999,55142.625,3002.625
51604.0,55142.625,3538.625
51247.71,55142.625,3894.914
51504.29000000001,55142.625,3638.336
51626.0,55142.625,3516.625
52038.0,55142.625,3104.625
51726.0,55142.625,3416.625
51620.0,55142.625,3522.625
52124.0,55142.625,3018.625
53216.0,55142.625,1926.625
54890.0,55142.625,252.625
57448.0,55142.625,2305.375
57418.0,55142.625,2275.375
58154.00000000001,55142.625,3011.375
58320.0,55142.625,3177.375
